必填字段个数,公立医疗,非公立医疗机构-非营利性,个体诊所-非营利性,非公立医疗机构-营利性,个体诊所-营利性,单体药店,连锁特许经营,批发企业,生产企业
可经营存储条件,"是否必填：是
填写方式：勾选
填写要求：从经营范围推导，可选常温、阴凉、冷处","是否必填：是
填写方式：勾选
填写要求：从经营范围推导，可选常温、阴凉、冷处","是否必填：是
填写方式：勾选
填写要求：从经营范围推导，可选常温、阴凉、冷处","是否必填：是
填写方式：勾选
填写要求：从经营范围推导，可选常温、阴凉、冷处","是否必填：是
填写方式：勾选
填写要求：从经营范围推导，可选常温、阴凉、冷处","是否必填：是
填写方式：勾选
填写要求：从经营范围推导，可选常温、阴凉、冷处","是否必填：是
填写方式：勾选
填写要求：从经营范围推导，可选常温、阴凉、冷处","是否必填：是
填写方式：勾选
填写要求：从经营范围推导，可选常温、阴凉、冷处","是否必填：是
填写方式：勾选
填写要求：从经营范围推导，可选常温、阴凉、冷处"
可经营使用方式,"是否必填：是
填写方式：勾选
填写要求：从经营范围推导，可选内服、外用、注射（有注射剂→注射）","是否必填：是
填写方式：勾选
填写要求：从经营范围推导，可选内服、外用、注射（有注射剂→注射）","是否必填：是
填写方式：勾选
填写要求：从经营范围推导，可选内服、外用（中医诊所备案不可选注射）","是否必填：是
填写方式：勾选
填写要求：从经营范围推导，可选内服、外用、注射（有注射剂→注射）","是否必填：是
填写方式：勾选
填写要求：从经营范围推导，可选内服、外用、注射（有注射剂→注射）","是否必填：是
填写方式：勾选
填写要求：从经营范围推导，可选内服、外用、注射（未限口服→可选注射）","是否必填：是
填写方式：勾选
填写要求：从经营范围推导，可选内服、外用、注射（未限口服→可选注射）","是否必填：是
填写方式：勾选
填写要求：从经营范围推导，可选内服、外用、注射（未限口服→可选注射）","是否必填：是
填写方式：勾选
填写要求：从经营范围推导，可选内服、外用、注射"
收货人,"是否必填：是
填写方式：与采购委托书中收货人姓名一致
填写要求：须与委托书中收货人姓名一致","是否必填：是
填写方式：与采购委托书中收货人姓名一致
填写要求：须与委托书中收货人姓名一致","是否必填：是
填写方式：与采购委托书中收货人姓名一致
填写要求：须与委托书中收货人姓名一致","是否必填：是
填写方式：与采购委托书中收货人姓名一致
填写要求：须与委托书中收货人姓名一致","是否必填：是
填写方式：与采购委托书中收货人姓名一致
填写要求：须与委托书中收货人姓名一致","是否必填：是
填写方式：与采购委托书中收货人姓名一致
填写要求：须与委托书中收货人姓名一致","是否必填：是
填写方式：与采购委托书中收货人姓名一致
填写要求：须与委托书中收货人姓名一致","是否必填：是
填写方式：与采购委托书中收货人姓名一致
填写要求：须与委托书中收货人姓名一致","是否必填：是
填写方式：与采购委托书中收货人姓名一致
填写要求：须与委托书中收货人姓名一致"
手机号,"是否必填：是
填写方式：手机号
填写要求：手机号和固定电话","是否必填：是
填写方式：手机号
填写要求：手机号和固定电话","是否必填：是
填写方式：手机号
填写要求：手机号和固定电话","是否必填：是
填写方式：手机号
填写要求：手机号和固定电话","是否必填：是
填写方式：手机号
填写要求：手机号和固定电话","是否必填：是
填写方式：手机号
填写要求：手机号和固定电话","是否必填：是
填写方式：手机号
填写要求：手机号和固定电话","是否必填：是
填写方式：手机号
填写要求：手机号和固定电话","是否必填：是
填写方式：手机号
填写要求：手机号和固定电话"
收货地区,"是否必填：是
填写方式：四级下拉选择，从医疗机构执业许可证/备案凭证提取
填写要求：无","是否必填：是
填写方式：四级下拉选择，从医疗机构执业许可证/备案凭证提取
填写要求：无","是否必填：是
填写方式：四级下拉选择，从医疗机构执业许可证/备案凭证提取
填写要求：无","是否必填：是
填写方式：四级下拉选择，从营业执照提取
填写要求：无","是否必填：是
填写方式：四级下拉选择，从营业执照提取
填写要求：无","是否必填：是
填写方式：四级下拉选择，从药品经营许可证提取
填写要求：无","是否必填：是
填写方式：四级下拉选择，从药品经营许可证提取
填写要求：无","是否必填：是
填写方式：四级下拉选择，从药品经营许可证提取
填写要求：无","是否必填：是
填写方式：四级下拉选择，从营业执照提取
填写要求：无"
收货地址,"是否必填：是
填写方式：从医疗机构执业许可证/备案凭证地址提取
填写要求：与医疗机构许可证地址一致","是否必填：是
填写方式：从医疗机构执业许可证/备案凭证地址提取
填写要求：与医疗机构许可证地址一致","是否必填：是
填写方式：从医疗机构执业许可证/备案凭证地址提取
填写要求：与医疗机构许可证地址一致","是否必填：是
填写方式：从营业执照地址提取
填写要求：与营业执照地址一致","是否必填：是
填写方式：从营业执照地址提取
填写要求：与营业执照地址一致","是否必填：是
填写方式：从药品经营许可证地址提取
填写要求：与药品经营许可证地址一致（简短可补充详细地址+企业全称）","是否必填：是
填写方式：从药品经营许可证地址提取
填写要求：与药品经营许可证地址一致（简短可补充详细地址+企业全称）","是否必填：是
填写方式：从药品经营许可证仓库地址提取
填写要求：与药品经营许可证仓库地址一致（多仓库填一个，可后台加白名单；由XX公司配送→需附配送公司盖章药证）","是否必填：是
填写方式：从营业执照地址提取
填写要求：与营业执照地址一致"
是否和收货人一致,"是否必填：是
填写方式：勾选项
填写要求：无","是否必填：是
填写方式：勾选项
填写要求：无","是否必填：是
填写方式：勾选项
填写要求：无","是否必填：是
填写方式：勾选项
填写要求：无","是否必填：是
填写方式：勾选项
填写要求：无","是否必填：是
填写方式：勾选项
填写要求：无","是否必填：是
填写方式：勾选项
填写要求：无","是否必填：是
填写方式：勾选项
填写要求：无","是否必填：是
填写方式：勾选项
填写要求：无"
采购员,"是否必填：是
填写方式：与采购委托书/身份证姓名一致
填写要求：须与委托书中采购人姓名一致、与身份证姓名一致","是否必填：是
填写方式：与采购委托书/身份证姓名一致
填写要求：须与委托书中采购人姓名一致、与身份证姓名一致","是否必填：是
填写方式：与采购委托书/身份证姓名一致
填写要求：须与委托书中采购人姓名一致、与身份证姓名一致","是否必填：是
填写方式：与采购委托书/身份证姓名一致
填写要求：须与委托书中采购人姓名一致、与身份证姓名一致","是否必填：是
填写方式：与采购委托书/身份证姓名一致
填写要求：须与委托书中采购人姓名一致、与身份证姓名一致","是否必填：是
填写方式：与采购委托书/身份证姓名一致
填写要求：须与委托书中采购人姓名一致、与身份证姓名一致","是否必填：是
填写方式：与采购委托书/身份证姓名一致
填写要求：须与委托书中采购人姓名一致、与身份证姓名一致","是否必填：是
填写方式：与采购委托书/身份证姓名一致
填写要求：须与委托书中采购人姓名一致、与身份证姓名一致","是否必填：是
填写方式：与采购委托书/身份证姓名一致
填写要求：须与委托书中采购人姓名一致、与身份证姓名一致"
采购员联系方式,"是否必填：是
填写方式：手机号
填写要求：无","是否必填：是
填写方式：手机号
填写要求：无","是否必填：是
填写方式：手机号
填写要求：无","是否必填：是
填写方式：手机号
填写要求：无","是否必填：是
填写方式：手机号
填写要求：无","是否必填：是
填写方式：手机号
填写要求：无","是否必填：是
填写方式：手机号
填写要求：无","是否必填：是
填写方式：手机号
填写要求：无","是否必填：是
填写方式：手机号
填写要求：无"
采购员身份证号,"是否必填：是
填写方式：与采购员身份证一致
填写要求：须与委托书中身份证号一致","是否必填：是
填写方式：与采购员身份证一致
填写要求：须与委托书中身份证号一致","是否必填：是
填写方式：与采购员身份证一致
填写要求：须与委托书中身份证号一致","是否必填：是
填写方式：与采购员身份证一致
填写要求：须与委托书中身份证号一致","是否必填：是
填写方式：与采购员身份证一致
填写要求：须与委托书中身份证号一致","是否必填：是
填写方式：与采购员身份证一致
填写要求：须与委托书中身份证号一致","是否必填：是
填写方式：与采购员身份证一致
填写要求：须与委托书中身份证号一致","是否必填：是
填写方式：与采购员身份证一致
填写要求：须与委托书中身份证号一致","是否必填：是
填写方式：与采购员身份证一致
填写要求：须与委托书中身份证号一致"
业务员子账号,"是否必填：是
填写方式：鹰眼用户名
填写要求：无","是否必填：是
填写方式：鹰眼用户名
填写要求：无","是否必填：是
填写方式：鹰眼用户名
填写要求：无","是否必填：是
填写方式：鹰眼用户名
填写要求：无","是否必填：是
填写方式：鹰眼用户名
填写要求：无","是否必填：是
填写方式：鹰眼用户名
填写要求：无","是否必填：是
填写方式：鹰眼用户名
填写要求：无","是否必填：是
填写方式：鹰眼用户名
填写要求：无","是否必填：是
填写方式：鹰眼用户名
填写要求：无"
营业执照编号,【-】,【-】,【-】,是否必填：是,是否必填：是,是否必填：是,是否必填：是,是否必填：是,是否必填：是
营业执照效期,【-】,【-】,【-】,是否必填：是,是否必填：是,是否必填：是,是否必填：是,是否必填：是,是否必填：是
医疗机构执业许可证/备案凭证编号,是否必填：是,是否必填：是,是否必填：是,是否必填：是,是否必填：是,【-】,【-】,【-】,【-】
医疗机构执业许可证/备案凭证效期,是否必填：是,是否必填：是,是否必填：是,是否必填：是,是否必填：是,【-】,【-】,【-】,【-】
发票开票资料编号,是否必填：是,是否必填：是,是否必填：是,是否必填：是,是否必填：是,是否必填：是,是否必填：是,是否必填：是,是否必填：是
发票开票资料效期,是否必填：是,是否必填：是,是否必填：是,是否必填：是,是否必填：是,是否必填：是,是否必填：是,是否必填：是,是否必填：是
银行开户证明编号,【-】,【-】,【-】,【-】,【-】,【-】,【-】,是否必填：是,【-】
银行开户证明效期,【-】,【-】,【-】,【-】,【-】,【-】,【-】,是否必填：是,【-】
采购委托书编号,是否必填：是,是否必填：是,是否必填：是,是否必填：是,是否必填：是,是否必填：是,是否必填：是,是否必填：是,是否必填：是
采购委托书效期,是否必填：是,是否必填：是,是否必填：是,是否必填：是,是否必填：是,是否必填：是,是否必填：是,是否必填：是,是否必填：是
采购员身份证编号,是否必填：是,是否必填：是,是否必填：是,是否必填：是,是否必填：是,是否必填：是,是否必填：是,是否必填：是,是否必填：是
采购员身份证效期,是否必填：是,是否必填：是,是否必填：是,是否必填：是,是否必填：是,是否必填：是,是否必填：是,是否必填：是,是否必填：是
药品经营许可证编号,【-】,【-】,【-】,【-】,【-】,是否必填：是,是否必填：是,是否必填：是,【-】
药品经营许可证效期,【-】,【-】,【-】,【-】,【-】,是否必填：是,是否必填：是,是否必填：是,【-】
器械经营许可证编号,是否必填：否,是否必填：否,是否必填：否,是否必填：否,是否必填：否,是否必填：否,是否必填：否,是否必填：否,是否必填：否
器械经营许可证效期,是否必填：否,是否必填：否,是否必填：否,是否必填：否,是否必填：否,是否必填：否,是否必填：否,是否必填：否,是否必填：否
食品经营许可证编号,是否必填：否,是否必填：否,是否必填：否,是否必填：否,是否必填：否,是否必填：否,是否必填：否,是否必填：否,是否必填：否
食品经营许可证效期,是否必填：否,是否必填：否,是否必填：否,是否必填：否,是否必填：否,是否必填：否,是否必填：否,是否必填：否,是否必填：否
其他资质编号,是否必填：否,是否必填：否,是否必填：否,是否必填：否,是否必填：否,是否必填：否,是否必填：否,是否必填：否,是否必填：否
其他资质效期,是否必填：否,是否必填：否,是否必填：否,是否必填：否,是否必填：否,是否必填：否,是否必填：否,是否必填：否,是否必填：否
药品生产许可证编号,【-】,【-】,【-】,【-】,【-】,【-】,【-】,【-】,是否必填：否
药品生产许可证效期,【-】,【-】,【-】,【-】,【-】,【-】,【-】,【-】,是否必填：否
医疗器械生产许可证编号,【-】,【-】,【-】,【-】,【-】,【-】,【-】,【-】,是否必填：否
医疗器械生产许可证效期,【-】,【-】,【-】,【-】,【-】,【-】,【-】,【-】,是否必填：否
保健食品生产(卫生)许可证编号,【-】,【-】,【-】,【-】,【-】,【-】,【-】,【-】,是否必填：否
保健食品生产(卫生)许可证效期,【-】,【-】,【-】,【-】,【-】,【-】,【-】,【-】,是否必填：否
